source,target,value
CEO,NEUTRAL,360
CEO,POSITIVE,343
CEO,NEGATIVE,16
President,NEUTRAL,487
President,POSITIVE,414
President,NEGATIVE,88
In House Lawyer,NEUTRAL,20
In House Lawyer,POSITIVE,39
In House Lawyer,NEGATIVE,0
Managing Director,NEUTRAL,192
Managing Director,POSITIVE,130
Managing Director,NEGATIVE,34
Trader,NEUTRAL,557
Trader,POSITIVE,261
Trader,NEGATIVE,78
Director,NEUTRAL,595
Director,POSITIVE,224
Director,NEGATIVE,20
Manager,NEUTRAL,1779
Manager,POSITIVE,1373
Manager,NEGATIVE,149
Vice President,NEUTRAL,3215
Vice President,POSITIVE,2670
Vice President,NEGATIVE,410
Unknown,NEUTRAL,4912
Unknown,POSITIVE,2846
Unknown,NEGATIVE,425
Employee,NEUTRAL,5273
Employee,POSITIVE,3422
Employee,NEGATIVE,709
NEUTRAL,CEO1,224
NEUTRAL,President1,631
NEUTRAL,In House Lawyer1,44
NEUTRAL,Managing Director1,224
NEUTRAL,Trader1,797
NEUTRAL,Director1,1207
NEUTRAL,Manager1,1240
NEUTRAL,Vice President1,4284
NEUTRAL,Unknown1,4178
NEUTRAL,Employee1,4561
POSITIVE,CEO1,198
POSITIVE,President1,537
POSITIVE,In House Lawyer1,36
POSITIVE,Managing Director1,190
POSITIVE,Trader1,393
POSITIVE,Director1,613
POSITIVE,Manager1,1140
POSITIVE,Vice President1,3550
POSITIVE,Unknown1,2319
POSITIVE,Employee1,2746
NEGATIVE,CEO1,48
NEGATIVE,President1,101
NEGATIVE,In House Lawyer1,4
NEGATIVE,Managing Director1,32
NEGATIVE,Trader1,78
NEGATIVE,Director1,83
NEGATIVE,Manager1,114
NEGATIVE,Vice President1,711
NEGATIVE,Unknown1,333
NEGATIVE,Employee1,425
